priority,doi,url,publisher,journal,title,what_to_fetch,where_on_the_page,why_it_is_wanted,largest_count_in_abstract
1,10.1021/acscatal.5c06523,https://doi.org/10.1021/acscatal.5c06523,ACS,ACS catalysis,Indigo Formation as a Predictor of Non-Native Aromatic Hydroxylation in Cytochrome P450 BM3.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acscatal.5c06523,site-saturation; saturation mutagenesis,
1,10.1021/acschembio.5c00887,https://doi.org/10.1021/acschembio.5c00887,ACS,ACS chemical biology,Extensive Alanine Scanning of Loop Regions in Ketosynthase Domains Identifies Non-Active Site Mutations with Drastic Effects on Polyketide Biosynthesis.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acschembio.5c00887,alanine scanning; alanine scan,
1,10.1021/acssynbio.5c00968,https://doi.org/10.1021/acssynbio.5c00968,ACS,ACS synthetic biology,Harnessing the Power of SMART Single-Molecule Display for Enzyme Evolution: A Focus on Oxidase.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acssynbio.5c00968,site-saturation; saturation mutagenesis,
1,10.1007/s12010-025-05569-7,https://doi.org/10.1007/s12010-025-05569-7,Springer,Applied biochemistry and biotechnology,Optimization of Expression and Thermostability of Terminal Deoxynucleotidyl Transferase Through Iterative Mutagenesis and Computational Design.,article PDF + all supplementary data files,the Supplementary Information section at the foot of the page,site-saturation; saturation mutagenesis,
1,10.1186/s12896-026-01188-0,https://doi.org/10.1186/s12896-026-01188-0,BMC,BMC biotechnology,Improving xylitol production by semi-rational engineering of xylitol dehydrogenase and optimizing cofactor regeneration in Gluconobacter oxydans.,article PDF + all supplementary data files,the Additional files section (usually open access),site-saturation; saturation mutagenesis,
1,10.1186/s12870-026-09463-0,https://doi.org/10.1186/s12870-026-09463-0,BMC,BMC plant biology,Elucidating the biochemical properties of limonene synthase from Agastache rugosa.,article PDF + all supplementary data files,the Additional files section (usually open access),alanine scanning; alanine scan,
1,10.1016/j.biortech.2026.134067,https://doi.org/10.1016/j.biortech.2026.134067,Elsevier,Bioresource technology,Accurate enzyme specificity constant prediction with iESC.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",deep mutational scan; mutational scanning,
1,10.1002/bit.70233,https://doi.org/10.1002/bit.70233,Wiley,Biotechnology and bioengineering,"Systematic Engineering of Escherichia coli to Enhance 1,6-Hexamethylenediamine Biosynthesis and Mitigate Byproduct 1,5-Pentanediamine.",article PDF + all supplementary data files,the Supporting Information section at the foot of the article page,site-saturation; saturation mutagenesis,
1,10.1002/cbic.202500896,https://doi.org/10.1002/cbic.202500896,Wiley,Chembiochem : a European journal of chemical biology,Sustainable Biocatalytic Synthesis of Chiral Cyanohydrins Using Engineered Hydroxynitrile Lyases.,article PDF + all supplementary data files,the Supporting Information section at the foot of the article page,saturation mutagenesis; variant library,
1,10.1016/j.enzmictec.2026.110930,https://doi.org/10.1016/j.enzmictec.2026.110930,Elsevier,Enzyme and microbial technology,Engineering AaADH1 for enhanced catalytic efficiency and solubility via substrate tunnel modulation.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis; alanine scanning; alanine scan,
