status	note	doi	journal	pmcid	reachable	axes	vocabulary	title
unopened		10.1021/acsami.6c10190	ACS applied materials & interfaces		no	11	high-throughput screen	High-Throughput Screening of Single-Atom Catalyst Coordination Environment Regulation for CO2 Reduction Reactions.
unopened		10.1021/acscatal.5c06523	ACS catalysis		no	8a,11	site-saturation;saturation mutagenesis	Indigo Formation as a Predictor of Non-Native Aromatic Hydroxylation in Cytochrome P450 BM3.
unopened		10.1021/acschembio.5c00887	ACS chemical biology		no	11	alanine scanning;alanine scan	Extensive Alanine Scanning of Loop Regions in Ketosynthase Domains Identifies Non-Active Site Mutations with Drastic Effects on Polyketide Biosynthesis.
unopened		10.1021/acssynbio.5c00968	ACS synthetic biology		no	8a,11	site-saturation;saturation mutagenesis	Harnessing the Power of SMART Single-Molecule Display for Enzyme Evolution: A Focus on Oxidase.
unopened		10.1021/acssynbio.6c00195	ACS synthetic biology		no	11,B	high-throughput screen	Dual-Layer Engineering of Heparin 6-&lt;i&gt;O&lt;/i&gt;-Sulfotransferase: PROSS-Guided Design Meets Synonymous Rare-Codon Replacement.
unopened		10.1021/acssynbio.6c00196	ACS synthetic biology		no	11	saturation mutagenesis	Breaking the Stability-Activity-Selectivity Trilemma in Unspecific Peroxygenase through Computation-Based Cross-Regional Combinatorial Mutagenesis.
unopened		10.1021/acssynbio.6c00300	ACS synthetic biology		no	11,14	high-throughput screen	Microbial Synthesis of Daphnetin by Engineering 2-Oxoglutarate-Dependent Dioxygenases.
unopened		10.1002/advs.77040	Advanced science (Weinheim, Baden-Wurttemberg, Germany)		no	11	massively parallel	Machine Learning of Temperature-Dependent Chemical Kinetics Using Parallel Droplet Microreactors.
unopened		10.1021/acs.analchem.6c02164	Analytical chemistry		no	11,B	high-throughput screen	High-Throughput Screening of Isomeric Reaction Products by Droplet Microfluidics Coupled to Cyclic Ion Mobility-Mass Spectrometry.
unopened		10.1002/anie.202521396	Angewandte Chemie (International ed. in English)		no	8b,11	mutational landscape	A Multimodal Ensemble Framework for Optimal Mutant Prediction and Computational Enzyme Engineering.
unopened		10.1007/s12010-025-05551-3	Applied biochemistry and biotechnology		no	11	saturation mutagenesis	Semi-Rational Design of a Deep-Sea Metagenomic Sucrose Phosphorylase for Enhanced α-Arbutin Biosynthesis.
unopened		10.1007/s12010-025-05569-7	Applied biochemistry and biotechnology		no	8a,11,14	site-saturation;saturation mutagenesis	Optimization of Expression and Thermostability of Terminal Deoxynucleotidyl Transferase Through Iterative Mutagenesis and Computational Design.
unopened		10.1016/j.abb.2026.110828	Archives of biochemistry and biophysics		no	11	high-throughput screen	A ninhydrin-based colorimetric assay for monitoring (S)-Norcoclaurine synthase activity through dopamine quantification.
unopened		10.1186/s12896-026-01188-0	BMC biotechnology		no	8a,11	site-saturation;saturation mutagenesis;high-throughput screen	Improving xylitol production by semi-rational engineering of xylitol dehydrogenase and optimizing cofactor regeneration in Gluconobacter oxydans.
unopened		10.1186/s12870-026-09463-0	BMC plant biology		no	11	alanine scanning;alanine scan	Elucidating the biochemical properties of limonene synthase from Agastache rugosa.
unopened		10.1016/j.biortech.2025.133876	Bioresource technology		no	8a,11	saturation mutagenesis;high-throughput screen	Engineering 7β-HSDH_Osp for enhanced catalytic efficiency: Advancing sustainable biosynthesis of ursodeoxycholic acid.
unopened		10.1016/j.biortech.2026.134067	Bioresource technology		no	8a,11	deep mutational scan;mutational scanning;high-throughput screen	Accurate enzyme specificity constant prediction with iESC.
unopened		10.1016/j.biortech.2026.134241	Bioresource technology		no	11	saturation mutagenesis	Engineering a bifunctional cellobiose 2-epimerase into an isomerase capable of selective lactulose production.
unopened		10.1016/j.biortech.2026.134249	Bioresource technology		no	11	screened a library	Directed evolution of an integral membrane monooxygenase unlocks its full potential.
unopened		10.1016/j.biortech.2026.134363	Bioresource technology		no	11	saturation mutagenesis	Semi-rational design of psychrophilic cellobiose 2-epimerase for improved substrate affinity and enhanced low-temperature epimerization activity.
unopened		10.1016/j.biortech.2026.134484	Bioresource technology		no	8b,11	saturation mutagenesis	Identification of functional hotspots via hybrid nuclear magnetic Resonance-Computational strategy for directed evolution of large enzymes.
unopened		10.1016/j.biortech.2026.135302	Bioresource technology		no	11	saturation mutagenesis	Discovery and engineering of a formate dehydrogenase with enhanced bicarbonate reduction activity.
unopened		10.1016/j.biortech.2026.135616	Bioresource technology		no	11,A	saturation mutagenesis	Torsion-spring hypothesis guided pocket-hinge synergistic engineering of glutamate dehydrogenase for efficient synthesis of unnatural amino acids.
