filename,protein,source_organism,seq_len,property,readout,wt_readout,assay_method,n_variants,doi,remark
GrowthFitness/DMS/Estevam 2025-DMS-METkinase-growthfitness-A458.csv,MET receptor tyrosine kinase domain; the assayed construct is residues 1059 to 1345 of human MET,Homo sapiens,287,Growth fitness,"Growth fitness of Ba/F3 cells expressing the variant under AMG-458, as a Rosace effect score",-0.11981,"Deep mutational scan of the MET kinase domain expressed in Ba/F3 cells and grown under inhibitor selection, with variant abundance followed by sequencing and effect scores estimated with Rosace. Condition: AMG-458.",3673,10.7554/eLife.101882,"The reference sequence is the assayed construct, residues 1059 to 1345 of UniProt P08581, against which all 287 positions named in the source verify with no mismatch; labels are renumbered to the construct, so add 1058 to a position to recover full-length MET numbering. There is no separate wild-type entry: the scan measures 263 synonymous variants, which carry the wild-type genotype, and their mean is used as the WT row; that set spans -0.743 to 0.4, which is the clearest statement the data offers of the assay's own noise. Nonsense variants are dropped, being written with a non-standard X residue that the four-column format cannot represent. Not extracted from this paper: the exon-14-deleted MET background, which is a different construct and would be its own set of datasets; and the machine-learning feature tables and predictions, which are computed rather than assayed. ProteinGym holds a MET deep mutational scan from the same group published in 2023; this is the inhibitor-profiling study and its measurements are distinct from it."
GrowthFitness/DMS/Estevam 2025-DMS-METkinase-growthfitness-Cabo.csv,MET receptor tyrosine kinase domain; the assayed construct is residues 1059 to 1345 of human MET,Homo sapiens,287,Growth fitness,"Growth fitness of Ba/F3 cells expressing the variant under cabozantinib, as a Rosace effect score",-0.02673,"Deep mutational scan of the MET kinase domain expressed in Ba/F3 cells and grown under inhibitor selection, with variant abundance followed by sequencing and effect scores estimated with Rosace. Condition: cabozantinib.",3700,10.7554/eLife.101882,"The reference sequence is the assayed construct, residues 1059 to 1345 of UniProt P08581, against which all 287 positions named in the source verify with no mismatch; labels are renumbered to the construct, so add 1058 to a position to recover full-length MET numbering. There is no separate wild-type entry: the scan measures 262 synonymous variants, which carry the wild-type genotype, and their mean is used as the WT row; that set spans -0.619 to 0.269, which is the clearest statement the data offers of the assay's own noise. Nonsense variants are dropped, being written with a non-standard X residue that the four-column format cannot represent. Not extracted from this paper: the exon-14-deleted MET background, which is a different construct and would be its own set of datasets; and the machine-learning feature tables and predictions, which are computed rather than assayed. ProteinGym holds a MET deep mutational scan from the same group published in 2023; this is the inhibitor-profiling study and its measurements are distinct from it."
GrowthFitness/DMS/Estevam 2025-DMS-METkinase-growthfitness-Camp.csv,MET receptor tyrosine kinase domain; the assayed construct is residues 1059 to 1345 of human MET,Homo sapiens,287,Growth fitness,"Growth fitness of Ba/F3 cells expressing the variant under capmatinib, as a Rosace effect score",0.183664,"Deep mutational scan of the MET kinase domain expressed in Ba/F3 cells and grown under inhibitor selection, with variant abundance followed by sequencing and effect scores estimated with Rosace. Condition: capmatinib.",3557,10.7554/eLife.101882,"The reference sequence is the assayed construct, residues 1059 to 1345 of UniProt P08581, against which all 287 positions named in the source verify with no mismatch; labels are renumbered to the construct, so add 1058 to a position to recover full-length MET numbering. There is no separate wild-type entry: the scan measures 262 synonymous variants, which carry the wild-type genotype, and their mean is used as the WT row; that set spans -0.568 to 0.572, which is the clearest statement the data offers of the assay's own noise. Nonsense variants are dropped, being written with a non-standard X residue that the four-column format cannot represent. Not extracted from this paper: the exon-14-deleted MET background, which is a different construct and would be its own set of datasets; and the machine-learning feature tables and predictions, which are computed rather than assayed. ProteinGym holds a MET deep mutational scan from the same group published in 2023; this is the inhibitor-profiling study and its measurements are distinct from it."
GrowthFitness/DMS/Estevam 2025-DMS-METkinase-growthfitness-Crizo.csv,MET receptor tyrosine kinase domain; the assayed construct is residues 1059 to 1345 of human MET,Homo sapiens,287,Growth fitness,"Growth fitness of Ba/F3 cells expressing the variant under crizotinib, as a Rosace effect score",-0.021097,"Deep mutational scan of the MET kinase domain expressed in Ba/F3 cells and grown under inhibitor selection, with variant abundance followed by sequencing and effect scores estimated with Rosace. Condition: crizotinib.",3862,10.7554/eLife.101882,"The reference sequence is the assayed construct, residues 1059 to 1345 of UniProt P08581, against which all 287 positions named in the source verify with no mismatch; labels are renumbered to the construct, so add 1058 to a position to recover full-length MET numbering. There is no separate wild-type entry: the scan measures 268 synonymous variants, which carry the wild-type genotype, and their mean is used as the WT row; that set spans -0.717 to 0.381, which is the clearest statement the data offers of the assay's own noise. Nonsense variants are dropped, being written with a non-standard X residue that the four-column format cannot represent. Not extracted from this paper: the exon-14-deleted MET background, which is a different construct and would be its own set of datasets; and the machine-learning feature tables and predictions, which are computed rather than assayed. ProteinGym holds a MET deep mutational scan from the same group published in 2023; this is the inhibitor-profiling study and its measurements are distinct from it."
GrowthFitness/DMS/Estevam 2025-DMS-METkinase-growthfitness-DMSO.csv,MET receptor tyrosine kinase domain; the assayed construct is residues 1059 to 1345 of human MET,Homo sapiens,287,Growth fitness,"Growth fitness of Ba/F3 cells expressing the variant under the DMSO vehicle control, no inhibitor, as a Rosace effect score",-0.229388,"Deep mutational scan of the MET kinase domain expressed in Ba/F3 cells and grown under inhibitor selection, with variant abundance followed by sequencing and effect scores estimated with Rosace. Condition: the DMSO vehicle control, no inhibitor.",3843,10.7554/eLife.101882,"The reference sequence is the assayed construct, residues 1059 to 1345 of UniProt P08581, against which all 287 positions named in the source verify with no mismatch; labels are renumbered to the construct, so add 1058 to a position to recover full-length MET numbering. There is no separate wild-type entry: the scan measures 266 synonymous variants, which carry the wild-type genotype, and their mean is used as the WT row; that set spans -0.693 to 0.095, which is the clearest statement the data offers of the assay's own noise. Nonsense variants are dropped, being written with a non-standard X residue that the four-column format cannot represent. Not extracted from this paper: the exon-14-deleted MET background, which is a different construct and would be its own set of datasets; and the machine-learning feature tables and predictions, which are computed rather than assayed. ProteinGym holds a MET deep mutational scan from the same group published in 2023; this is the inhibitor-profiling study and its measurements are distinct from it."
GrowthFitness/DMS/Estevam 2025-DMS-METkinase-growthfitness-Gle.csv,MET receptor tyrosine kinase domain; the assayed construct is residues 1059 to 1345 of human MET,Homo sapiens,287,Growth fitness,"Growth fitness of Ba/F3 cells expressing the variant under glesatinib, as a Rosace effect score",0.137626,"Deep mutational scan of the MET kinase domain expressed in Ba/F3 cells and grown under inhibitor selection, with variant abundance followed by sequencing and effect scores estimated with Rosace. Condition: glesatinib.",3755,10.7554/eLife.101882,"The reference sequence is the assayed construct, residues 1059 to 1345 of UniProt P08581, against which all 287 positions named in the source verify with no mismatch; labels are renumbered to the construct, so add 1058 to a position to recover full-length MET numbering. There is no separate wild-type entry: the scan measures 266 synonymous variants, which carry the wild-type genotype, and their mean is used as the WT row; that set spans -0.71 to 0.46, which is the clearest statement the data offers of the assay's own noise. Nonsense variants are dropped, being written with a non-standard X residue that the four-column format cannot represent. Not extracted from this paper: the exon-14-deleted MET background, which is a different construct and would be its own set of datasets; and the machine-learning feature tables and predictions, which are computed rather than assayed. ProteinGym holds a MET deep mutational scan from the same group published in 2023; this is the inhibitor-profiling study and its measurements are distinct from it."
GrowthFitness/DMS/Estevam 2025-DMS-METkinase-growthfitness-Glu.csv,MET receptor tyrosine kinase domain; the assayed construct is residues 1059 to 1345 of human MET,Homo sapiens,287,Growth fitness,"Growth fitness of Ba/F3 cells expressing the variant under glumetinib, as a Rosace effect score",0.054778,"Deep mutational scan of the MET kinase domain expressed in Ba/F3 cells and grown under inhibitor selection, with variant abundance followed by sequencing and effect scores estimated with Rosace. Condition: glumetinib.",3632,10.7554/eLife.101882,"The reference sequence is the assayed construct, residues 1059 to 1345 of UniProt P08581, against which all 287 positions named in the source verify with no mismatch; labels are renumbered to the construct, so add 1058 to a position to recover full-length MET numbering. There is no separate wild-type entry: the scan measures 263 synonymous variants, which carry the wild-type genotype, and their mean is used as the WT row; that set spans -0.483 to 0.363, which is the clearest statement the data offers of the assay's own noise. Nonsense variants are dropped, being written with a non-standard X residue that the four-column format cannot represent. Not extracted from this paper: the exon-14-deleted MET background, which is a different construct and would be its own set of datasets; and the machine-learning feature tables and predictions, which are computed rather than assayed. ProteinGym holds a MET deep mutational scan from the same group published in 2023; this is the inhibitor-profiling study and its measurements are distinct from it."
GrowthFitness/DMS/Estevam 2025-DMS-METkinase-growthfitness-Mere.csv,MET receptor tyrosine kinase domain; the assayed construct is residues 1059 to 1345 of human MET,Homo sapiens,287,Growth fitness,"Growth fitness of Ba/F3 cells expressing the variant under merestinib, as a Rosace effect score",-0.010532,"Deep mutational scan of the MET kinase domain expressed in Ba/F3 cells and grown under inhibitor selection, with variant abundance followed by sequencing and effect scores estimated with Rosace. Condition: merestinib.",3798,10.7554/eLife.101882,"The reference sequence is the assayed construct, residues 1059 to 1345 of UniProt P08581, against which all 287 positions named in the source verify with no mismatch; labels are renumbered to the construct, so add 1058 to a position to recover full-length MET numbering. There is no separate wild-type entry: the scan measures 266 synonymous variants, which carry the wild-type genotype, and their mean is used as the WT row; that set spans -0.648 to 0.312, which is the clearest statement the data offers of the assay's own noise. Nonsense variants are dropped, being written with a non-standard X residue that the four-column format cannot represent. Not extracted from this paper: the exon-14-deleted MET background, which is a different construct and would be its own set of datasets; and the machine-learning feature tables and predictions, which are computed rather than assayed. ProteinGym holds a MET deep mutational scan from the same group published in 2023; this is the inhibitor-profiling study and its measurements are distinct from it."
GrowthFitness/DMS/Estevam 2025-DMS-METkinase-growthfitness-NVP.csv,MET receptor tyrosine kinase domain; the assayed construct is residues 1059 to 1345 of human MET,Homo sapiens,287,Growth fitness,"Growth fitness of Ba/F3 cells expressing the variant under NVP-BVU972, as a Rosace effect score",-0.036561,"Deep mutational scan of the MET kinase domain expressed in Ba/F3 cells and grown under inhibitor selection, with variant abundance followed by sequencing and effect scores estimated with Rosace. Condition: NVP-BVU972.",3632,10.7554/eLife.101882,"The reference sequence is the assayed construct, residues 1059 to 1345 of UniProt P08581, against which all 287 positions named in the source verify with no mismatch; labels are renumbered to the construct, so add 1058 to a position to recover full-length MET numbering. There is no separate wild-type entry: the scan measures 261 synonymous variants, which carry the wild-type genotype, and their mean is used as the WT row; that set spans -0.669 to 0.358, which is the clearest statement the data offers of the assay's own noise. Nonsense variants are dropped, being written with a non-standard X residue that the four-column format cannot represent. Not extracted from this paper: the exon-14-deleted MET background, which is a different construct and would be its own set of datasets; and the machine-learning feature tables and predictions, which are computed rather than assayed. ProteinGym holds a MET deep mutational scan from the same group published in 2023; this is the inhibitor-profiling study and its measurements are distinct from it."
GrowthFitness/DMS/Estevam 2025-DMS-METkinase-growthfitness-Savo.csv,MET receptor tyrosine kinase domain; the assayed construct is residues 1059 to 1345 of human MET,Homo sapiens,287,Growth fitness,"Growth fitness of Ba/F3 cells expressing the variant under savolitinib, as a Rosace effect score",-0.125341,"Deep mutational scan of the MET kinase domain expressed in Ba/F3 cells and grown under inhibitor selection, with variant abundance followed by sequencing and effect scores estimated with Rosace. Condition: savolitinib.",3728,10.7554/eLife.101882,"The reference sequence is the assayed construct, residues 1059 to 1345 of UniProt P08581, against which all 287 positions named in the source verify with no mismatch; labels are renumbered to the construct, so add 1058 to a position to recover full-length MET numbering. There is no separate wild-type entry: the scan measures 264 synonymous variants, which carry the wild-type genotype, and their mean is used as the WT row; that set spans -0.632 to 0.211, which is the clearest statement the data offers of the assay's own noise. Nonsense variants are dropped, being written with a non-standard X residue that the four-column format cannot represent. Not extracted from this paper: the exon-14-deleted MET background, which is a different construct and would be its own set of datasets; and the machine-learning feature tables and predictions, which are computed rather than assayed. ProteinGym holds a MET deep mutational scan from the same group published in 2023; this is the inhibitor-profiling study and its measurements are distinct from it."
